"No.","Time","Source","Destination","Protocol","Length","Info"
"115","2.154008955","192.168.129.132","142.250.75.86","TLSv1.2","220","Application Data"
"116","2.154326760","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=997 Win=64240 Len=0"
"117","2.154352227","192.168.129.132","142.250.75.86","TLSv1.2","220","Application Data"
"118","2.154686245","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=1163 Win=64240 Len=0"
"119","2.161427458","142.250.75.86","192.168.129.132","TLSv1.2","21349","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"120","2.161668268","192.168.129.132","142.250.75.86","TCP","54","40844  >  443 [ACK] Seq=1163 Ack=21296 Win=65535 Len=0"
"121","2.163766190","142.250.75.86","192.168.129.132","TLSv1.2","24976","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"122","2.165849768","142.250.75.86","192.168.129.132","TLSv1.2","5817","Application Data, Application Data, Application Data, Application Data, Application Data"
"123","2.166041954","192.168.129.132","142.250.75.86","TCP","54","40844  >  443 [ACK] Seq=1163 Ack=51981 Win=65535 Len=0"
"124","2.168188246","142.250.75.86","192.168.129.132","TLSv1.2","37604","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"125","2.171247367","142.250.75.86","192.168.129.132","TLSv1.2","17113","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"126","2.171332267","142.250.75.86","192.168.129.132","TLSv1.2","9684","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"127","2.171462768","192.168.129.132","142.250.75.86","TLSv1.2","93","Application Data"
"128","2.171832905","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=116220 Ack=1202 Win=64240 Len=0"
